Dataset,Trees,Max Depth,Method,Train Acc,Train F1,Test Acc,Test F1,Leaves,Nodes,Avg Path Length,Complexity Score,DAR,DSR
COMPAS-ProPublica,5,3,RandomForest,0.6542792792792793,0.6485967623149044,0.6483357452966715,0.642898211948384,40,75,3.0,,,
COMPAS-ProPublica,5,3,BornAgain,0.657014157014157,0.6550060943738848,0.662807525325615,0.6617280456301952,64,127,4.798842257597684,65.89942112879885,0.0,194.2755905511811
COMPAS-ProPublica,5,3,BornAgain-Pruned,0.657014157014157,0.6550060943738848,0.662807525325615,0.6617280456301952,15,29,4.798842257597684,16.899421128798842,0.0,13.241379310344827
COMPAS-ProPublica,5,4,RandomForest,0.6632882882882883,0.660318849000885,0.6657018813314037,0.6626177988724363,75,145,3.988712011577424,,,
COMPAS-ProPublica,5,4,BornAgain,0.6613577863577863,0.6585051405192628,0.6613603473227206,0.6585390243683203,104,207,5.625180897250361,106.31259044862519,0.0,426.0
COMPAS-ProPublica,5,4,BornAgain-Pruned,0.6613577863577863,0.6585051405192628,0.6613603473227206,0.6585390243683203,24,47,5.625180897250361,26.31259044862518,0.0,23.361702127659573
COMPAS-ProPublica,10,3,RandomForest,0.6563706563706564,0.6497834993722185,0.6657018813314037,0.6605328681484638,80,150,3.0,,,
COMPAS-ProPublica,10,3,BornAgain,0.6541184041184042,0.646416708356103,0.6671490593342981,0.661335734177027,102,203,3.9826338639652676,103.49131693198264,0.0,380.76847290640393
COMPAS-ProPublica,10,3,BornAgain-Pruned,0.6541184041184042,0.646416708356103,0.6671490593342981,0.661335734177027,22,43,3.9826338639652676,23.491316931982634,0.0,16.348837209302324
COMPAS-ProPublica,10,4,RandomForest,0.6705276705276705,0.6680149726785118,0.6714905933429812,0.6695548372176622,153,296,3.9907380607814757,,,
COMPAS-ProPublica,10,4,BornAgain,0.6674710424710425,0.66328606239712,0.6700434153400868,0.6668980311240847,185,369,5.557163531114327,187.27858176555716,0.0,1261.9620596205962
COMPAS-ProPublica,10,4,BornAgain-Pruned,0.6674710424710425,0.66328606239712,0.6700434153400868,0.6668980311240847,21,41,5.557163531114327,23.278581765557163,0.0,31.48780487804878
FICO,5,3,RandomForest,0.7156060767024328,0.7142194651015916,0.7131931166347992,0.7123131409699287,40,75,3.0,,,
FICO,5,3,BornAgain,0.7080633166896845,0.708037787052809,0.7208413001912046,0.7206728296802157,63,125,4.360420650095603,64.6802103250478,0.0,169.176
FICO,5,3,BornAgain-Pruned,0.7080633166896845,0.708037787052809,0.7208413001912046,0.7206728296802157,26,51,4.360420650095603,27.680210325047803,0.0,26.84313725490196
FICO,5,4,RandomForest,0.7176245617762669,0.7153804405362665,0.7084130019120459,0.706829447075614,80,155,4.0,,,
FICO,5,4,BornAgain,0.7127377031764581,0.7100603370676627,0.7026768642447419,0.7008885871163456,213,425,4.305927342256214,214.6529636711281,0.0,1929.4564705882353
FICO,5,4,BornAgain-Pruned,0.7127377031764581,0.7100603370676627,0.7026768642447419,0.7008885871163456,40,79,4.305927342256214,41.652963671128106,0.0,80.49367088607595
FICO,10,3,RandomForest,0.7122065228938702,0.7107571415182259,0.7122370936902486,0.7113232391443276,80,150,3.0,,,
FICO,10,3,BornAgain,0.7117815786677999,0.711248086589784,0.7065009560229446,0.7063632972149296,83,165,3.298279158699809,84.1491395793499,0.0,258.9030303030303
FICO,10,3,BornAgain-Pruned,0.7117815786677999,0.711248086589784,0.7065009560229446,0.7063632972149296,27,53,3.298279158699809,28.149139579349903,0.0,27.962264150943398
FICO,10,4,RandomForest,0.7168809093806437,0.7146927711728565,0.7055449330783938,0.7043001403696594,160,310,4.0,,,
FICO,10,4,BornAgain,0.7115691065547647,0.7083802395342348,0.7026768642447419,0.700514421655609,418,835,3.6921606118546846,419.34608030592733,0.0,6343.471856287425
FICO,10,4,BornAgain-Pruned,0.7115691065547647,0.7083802395342348,0.7026768642447419,0.700514421655609,47,93,3.6921606118546846,48.346080305927345,0.0,111.48387096774194
