Dataset,Trees,Max Depth,Method,Train Acc,Train F1,Test Acc,Test F1,Leaves
COMPAS-ProPublica,5,3,RandomForest,0.6542792792792793,0.6485967623149044,0.6483357452966715,0.642898211948384,40
COMPAS-ProPublica,5,4,RandomForest,0.6632882882882883,0.660318849000885,0.6657018813314037,0.6626177988724363,75
COMPAS-ProPublica,5,20,RandomForest,0.6763191763191764,0.675993464523102,0.678726483357453,0.6786547390945428,527
COMPAS-ProPublica,10,3,RandomForest,0.6563706563706564,0.6497834993722185,0.6657018813314037,0.6605328681484638,80
COMPAS-ProPublica,10,4,RandomForest,0.6705276705276705,0.6680149726785118,0.6714905933429812,0.6695548372176622,153
COMPAS-ProPublica,10,20,RandomForest,0.676962676962677,0.6766065219402889,0.6758321273516642,0.6756818142942204,1061
FICO,5,3,RandomForest,0.7156060767024328,0.7142194651015916,0.7131931166347992,0.7123131409699287,40
FICO,5,4,RandomForest,0.7176245617762669,0.7153804405362665,0.7084130019120459,0.706829447075614,80
FICO,5,20,RandomForest,0.7823223201954743,0.7819101136684029,0.6835564053537285,0.6834566028686976,7432
FICO,10,3,RandomForest,0.7122065228938702,0.7107571415182259,0.7122370936902486,0.7113232391443276,80
FICO,10,4,RandomForest,0.7168809093806437,0.7146927711728565,0.7055449330783938,0.7043001403696594,160
FICO,10,20,RandomForest,0.7878465951343886,0.7873696293225997,0.6797323135755258,0.6795820995667801,14814
