0,1,2,3,4,RF_label
2.0,1.3938673295285084,110.0,150.0,14.91,1.0
2.0,1.0994983200256925,89.0,80.0,3.85,0.0
2.0,0.2929006790760036,104.0,84.0,16.15,0.0
1.0,1.4262487016006402,103.0,81.0,10.92,0.0
2.0,0.5652056808355066,110.0,100.0,6.08,1.0
2.0,1.879587910610496,94.0,202.0,21.11,0.0
2.0,1.8148251664662296,107.0,164.0,20.93,0.0
2.0,1.911969282682628,89.0,113.0,17.47,1.0
1.0,0.2929006790760036,90.0,95.0,3.24,0.0
2.0,0.9081467484465212,98.0,80.0,7.16,0.0
1.0,0.0338497024989441,85.0,91.0,9.86,0.0
2.0,0.4032988204748442,100.0,97.0,4.33,1.0
2.0,0.5519516556530636,102.0,124.0,12.06,1.0
1.0,0.8080659713765002,114.0,150.0,10.09,1.0
2.0,1.7338717362858986,96.0,120.0,9.61,0.0
2.0,0.1471845047514076,89.0,82.0,8.39,0.0
2.0,0.986163517773229,86.0,84.0,4.47,0.0
2.0,0.9567188065547196,108.0,77.0,8.02,0.0
2.0,0.3252820511481365,99.0,95.0,6.12,0.0
2.0,0.8433840043022555,108.0,160.0,6.76,1.0
1.0,1.7014903642137669,105.0,72.0,15.98,0.0
2.0,1.5072021317809714,86.0,76.0,15.42,0.0
2.0,1.0538629227711171,105.0,158.0,16.01,1.0
2.0,0.9214007736289644,90.0,76.0,3.47,0.0
2.0,1.3261679245306202,86.0,78.0,4.06,0.0
2.0,0.1118664718256523,87.0,67.0,6.43,0.0
2.0,0.0956757857895859,95.0,142.0,15.58,0.0
1.0,1.2775958664224214,89.0,145.0,2.97,0.0
2.0,1.4748207597088396,96.0,184.0,12.36,0.0
2.0,0.1118664718256523,105.0,79.0,11.73,0.0
2.0,0.7433032272322354,102.0,171.0,3.23,1.0
2.0,0.0662310745710764,90.0,93.0,8.12,0.0
1.0,0.2413919601141818,94.0,106.0,2.85,0.0
2.0,1.6852996781777003,88.0,78.0,19.2,0.0
1.0,2.041494770971158,96.0,122.0,26.39,0.0
2.0,1.3099772384945538,93.0,86.0,3.24,0.0
2.0,0.0338497024989441,90.0,185.0,14.5,0.0
2.0,0.5975870529076395,83.0,120.0,1.63,0.0
2.0,1.0509262619174935,69.0,74.0,19.12,0.0
2.0,1.4556934128191497,98.0,85.0,6.69,0.0
1.0,0.3547267623666459,88.0,96.0,4.02,0.0
2.0,0.5033795975448648,104.0,138.0,9.99,0.0
2.0,0.6623497970519042,83.0,82.0,7.64,0.0
2.0,0.8271933182661901,112.0,88.0,10.18,0.0
2.0,0.1148031326792753,107.0,109.0,8.37,0.0
2.0,0.1280571578617182,87.0,155.0,4.72,0.0
2.0,0.3385360763305794,86.0,86.0,10.7,0.0
2.0,0.1148031326792753,129.0,203.0,15.49,0.0
2.0,0.2443286209678053,107.0,136.0,8.82,1.0
2.0,1.1966424362420902,90.0,100.0,18.18,0.0
2.0,0.2443286209678053,79.0,55.0,4.77,0.0
2.0,0.727112541196169,103.0,134.0,16.92,0.0
1.0,0.727112541196169,103.0,113.0,2.7,0.0
2.0,0.1633751907874741,110.0,192.0,14.16,1.0
2.0,0.584333027725196,107.0,96.0,9.59,1.0
2.0,0.6005237137612625,102.0,108.0,12.73,0.0
2.0,0.9052100875928978,96.0,90.0,16.85,0.0
2.0,0.0794850997535194,92.0,103.0,17.82,0.0
2.0,0.7918752853404343,99.0,96.0,3.81,0.0
2.0,0.3738541092563348,89.0,98.0,21.35,0.0
1.0,0.8595746903383219,105.0,108.0,6.41,0.0
2.0,0.6167143997973283,104.0,117.0,11.29,0.0
2.0,0.7948119461940572,93.0,85.0,15.15,0.0
1.0,0.4224261673645336,118.0,137.0,14.12,0.0
2.0,0.4680615646191095,115.0,122.0,6.93,1.0
2.0,0.759493913268302,100.0,123.0,11.06,1.0
2.0,0.047103727681387,119.0,103.0,17.14,1.0
2.0,1.9605413407908268,101.0,76.0,22.6,0.0
1.0,0.7786212601579907,90.0,89.0,37.67,0.0
2.0,0.6652864579055272,101.0,84.0,13.55,0.0
2.0,0.2737733321863148,90.0,215.0,2.1,0.0
2.0,0.4194895065109106,85.0,155.0,4.54,1.0
2.0,0.1471845047514076,103.0,103.0,9.92,1.0
2.0,0.1118664718256523,98.0,96.0,8.89,0.0
